Team,Season,HDCF%_55,Time_Led,Playoff Wins,ENGF,ENGA,PP%,PK%,W,ROW,Berg
PIT,2020,51.49,,,,,,,40,37,
S.J,2020,50.39,,,,,,,29,27,
STL,2020,48.63,,,,,,,42,40,
T.B,2020,54.29,,,,,,,43,41,
TOR,2020,50.92,,,,,,,36,35,
VAN,2020,49.7,,,,,,,36,32,
VGK,2020,55.72,,,,,,,39,36,
WSH,2020,50.65,,,,,,,41,37,
WPG,2020,40.38,,,,,,,37,34,
ANA,2021,43.99,,,,,,,17,15,
ARI,2021,47.57,,,,,,,24,21,
BOS,2021,50.44,,,,,,,33,29,
BUF,2021,48.3,,,,,,,15,11,
CGY,2021,52.78,,,,,,,24,23,
CAR,2021,54.37,,,,,,,36,32,
CHI,2021,42.6,,,,,,,24,22,
COL,2021,58.75,,,,,,,39,39,
CBJ,2021,45.11,,,,,,,18,15,
DAL,2021,55.58,,,,,,,23,21,
DET,2021,46.26,,,,,,,19,17,
EDM,2021,49.78,,,,,,,35,35,
FLA,2021,53.71,,,,,,,37,36,
L.A,2021,45.48,,,,,,,21,20,
MIN,2021,55.41,,,,,,,35,34,
MTL,2021,51.88,,,,,,,24,23,
NSH,2021,50.62,,,,,,,31,26,
N.J,2021,48.92,,,,,,,19,19,
NYI,2021,56.21,,,,,,,31,27,
NYR,2021,46.76,,,,,,,27,26,
OTT,2021,48.72,,,,,,,23,21,
PHI,2021,48.3,,,,,,,25,22,
PIT,2021,48.07,,,,,,,37,34,
S.J,2021,50.29,,,,,,,21,16,
STL,2021,43.89,,,,,,,27,25,
T.B,2021,51.91,,,,,,,36,35,
TOR,2021,56.78,,,,,,,35,34,
VAN,2021,45.49,,,,,,,22,19,
VGK,2021,53.47,,,,,,,40,39,
WSH,2021,53.11,,,,,,,36,33,
WPG,2021,44.63,,,,,,,30,30,
