Team,Season,GP,TOI_55,GF.60_55,GA.60_55,G_diff.60_55,xGF.60_55,xGA.60_55,xG_diff.60_55,SF.60_55,SA.60_55,S_diff.60_55,FF.60_55,FA.60_55,F_diff.60_55,CF.60_55,CA.60_55,C_diff.60_55,Sh%_55,Sv%_55
EDM,20122013,48,2244.12,2.14,2.41,-0.27,2.13,2.65,-0.52,26.5,32.16,-5.67,36.9,44.86,-7.97,48.61,60.4,-11.79,8.07,92.52
FLA,20122013,48,2338.17,1.64,2.98,-1.33,1.99,2.37,-0.37,28.46,30.77,-2.31,39.13,41.72,-2.59,52.48,54.38,-1.9,5.94,90.34
L.A,20122013,48,2282.42,2.26,2.08,0.18,2.36,1.9,0.46,29.78,24.37,5.42,43.06,34.31,8.75,57.15,44.3,12.85,7.59,91.49
MIN,20122013,48,2269.37,2.09,2.35,-0.26,2.12,1.94,0.18,27.07,27.1,-0.03,36.99,37.97,-0.98,49.76,50.87,-1.11,7.71,91.33
MTL,20122013,48,2187,2.66,2.11,0.55,2.33,1.89,0.44,29.93,26.58,3.35,42.09,36.52,5.57,58,51.71,6.28,8.89,92.06
N.J,20122013,48,2251.2,1.68,1.97,-0.29,2.13,1.76,0.37,26.55,22.41,4.13,37.74,30.04,7.7,50.53,39.87,10.66,6.42,91.21
NSH,20122013,48,2331.32,1.9,2.14,-0.23,1.97,1.97,0,25.17,27.13,-1.96,34.54,38.32,-3.78,46.27,52.79,-6.51,7.66,91.95
NYI,20122013,48,2350.28,2.4,2.45,-0.05,2.6,2.4,0.2,29.92,27.04,2.88,40.51,39.29,1.23,55.35,55.5,-0.15,8.02,90.93
NYR,20122013,48,2328.9,2.32,1.73,0.59,2.64,2.31,0.32,31.25,26.61,4.64,43.1,37.51,5.59,58.02,53.61,4.41,7.41,93.51
OTT,20122013,48,2244,1.95,1.95,0,2.36,2.06,0.3,32.46,29.73,2.73,44.97,40.35,4.63,61.6,53.32,8.29,6.01,93.44
PHI,20122013,48,2201.87,2.21,2.59,-0.38,2.11,2.29,-0.18,27.9,28.86,-0.95,38.61,42.13,-3.52,52.95,58.29,-5.34,7.91,90.94
PIT,20122013,48,2263.18,2.84,1.96,0.87,2.34,2.13,0.2,29.4,29.32,0.08,40.51,40.62,-0.11,54.08,56.18,-2.09,9.65,93.31
S.J,20122013,48,2306.82,2,1.98,0.03,2.43,2.06,0.37,29.94,27.86,2.08,42.76,39.53,3.23,58.68,55.77,2.91,6.68,92.9
STL,20122013,48,2269.53,2.14,2.01,0.13,2,1.98,0.02,27.52,23.63,3.89,38.44,33.5,4.94,51.5,47.16,4.34,7.87,91.5
T.B,20122013,48,2281.17,2.68,2.55,0.13,2.08,2.19,-0.11,27.62,30.04,-2.42,38.14,42.69,-4.55,50.5,56.52,-6.02,9.71,91.43
TOR,20122013,48,2273.28,2.74,2.51,0.24,1.96,2.48,-0.51,25.73,32.94,-7.21,36.85,46.93,-10.08,50.89,64.51,-13.62,10.66,92.39
VAN,20122013,48,2257.72,2.18,2.13,0.05,2.17,2.21,-0.03,27.4,28.49,-1.09,38.64,38.22,0.43,52.89,49.96,2.92,8.03,92.54
WPG,20122013,48,2354.72,2.32,2.57,-0.25,2.31,2.44,-0.13,27.9,29.48,-1.58,40.67,41.84,-1.17,55.9,57.05,-1.15,8.3,91.2
WSH,20122013,48,2289.75,2.38,2.23,0.16,2.2,2.23,-0.03,27.72,30.92,-3.2,38.76,40.96,-2.2,53.53,56.34,-2.8,8.6,92.8
ANA,20132014,82,3822.9,2.93,2.09,0.85,2.49,2.31,0.18,29.85,28.25,1.6,41.45,41.21,0.24,54.92,55.34,-0.42,9.83,92.62
ARI,20132014,82,3878.63,2.12,2.06,0.06,2.07,2.26,-0.19,29.21,29.42,-0.22,40.89,40.87,0.02,55.44,54.2,1.24,7.26,93.01
BOS,20132014,82,3993.08,2.63,1.65,0.98,2.3,1.94,0.36,31.12,27.75,3.37,43.21,37.7,5.51,58.27,49.89,8.38,8.45,93.99
BUF,20132014,82,3890.77,1.48,2.54,-1.06,1.86,2.55,-0.69,25.34,33.2,-7.86,34.5,46.05,-11.55,46.4,61.39,-14.99,5.84,92.29
CAR,20132014,82,3938.25,2.07,2.29,-0.21,2.38,2.51,-0.13,30.38,30.9,-0.52,42.95,43.65,-0.7,58.15,57.5,0.66,6.87,92.61
CBJ,20132014,82,3838.15,2.3,2.13,0.17,2.01,1.98,0.03,28.7,29.44,-0.73,38.89,39.27,-0.38,52.32,52.53,-0.2,8.06,92.78
CGY,20132014,82,3993.28,2.04,2.58,-0.54,1.96,2.29,-0.33,25.99,28.35,-2.36,36.63,40.09,-3.46,49.9,57.79,-7.89,7.91,90.89
CHI,20132014,82,3979.35,2.73,2.23,0.5,2.57,1.97,0.6,32.49,26.05,6.44,43.23,34.89,8.34,58.62,47.09,11.53,8.44,91.39
COL,20132014,82,3940.3,2.5,2.16,0.33,2.13,2.41,-0.27,28.47,31.22,-2.74,38.52,44.01,-5.48,51.85,58.59,-6.75,8.77,93.08
DAL,20132014,82,3863.82,2.45,2.3,0.16,2.47,2.39,0.08,30.03,29.07,0.96,42.94,41.4,1.54,57.5,56.37,1.13,8.31,92.1
DET,20132014,82,3843.28,2.28,2.23,0.05,2.09,2.11,-0.02,28.88,28.26,0.62,39.79,37.45,2.34,51.64,48.69,2.95,7.89,92.06
EDM,20132014,82,3841.53,1.98,2.78,-0.8,2.1,2.63,-0.53,25.8,32.1,-6.29,35.88,45.44,-9.56,48.47,60.88,-12.42,7.69,91.29
FLA,20132014,82,3877.65,2.15,2.72,-0.57,2.23,2.36,-0.12,29.86,29.65,0.22,41.38,40.12,1.25,54.11,52.05,2.06,7.2,90.77
L.A,20132014,82,3810.05,2.03,1.62,0.41,2.42,1.93,0.49,31.21,25.02,6.19,45.48,35.65,9.83,61.23,46.57,14.66,6.5,93.46
MIN,20132014,82,3923.15,1.99,1.77,0.21,1.83,1.8,0.03,25.62,26.34,-0.72,35.73,37.47,-1.74,48.24,51,-2.77,7.82,93.16
MTL,20132014,82,3819.08,2.04,2.12,-0.08,2.2,2.39,-0.19,27.46,30.48,-3.02,38.92,42.42,-3.5,52.91,60.36,-7.45,7.42,93.04
N.J,20132014,82,3926.88,1.86,2.05,-0.18,2.19,1.74,0.45,26.19,23.77,2.41,36.69,31.78,4.9,49.25,41.25,7.99,7.11,91.34
NSH,20132014,82,3991.77,2.25,2.57,-0.32,2.05,1.93,0.12,28.65,28.68,-0.03,38.95,39.97,-1.02,51.24,54.49,-3.25,7.91,91.04
NYI,20132014,82,3894.2,2.14,2.62,-0.48,2.61,2.66,-0.05,29.57,29.46,0.11,40.34,41.72,-1.39,55.41,56.7,-1.29,7.24,91.11
NYR,20132014,82,3904.22,2.15,1.98,0.17,2.54,2.37,0.18,32.32,28.66,3.66,43.97,39.63,4.33,58.63,53.17,5.46,6.7,92.98
OTT,20132014,82,3798.93,2.46,2.59,-0.13,2.31,2.49,-0.18,33.06,33.28,-0.22,46.61,44.76,1.85,61.9,56.29,5.61,7.45,92.22
PHI,20132014,82,3743.03,2.31,2.4,-0.1,2.18,2.21,-0.03,28.76,31,-2.24,40.6,41.84,-1.23,56.23,56.33,-0.1,8.02,92.24
PIT,20132014,82,3906.75,2.33,2.23,0.11,2.04,2,0.04,28.27,27.35,0.92,38.24,39.44,-1.2,51.17,53.98,-2.81,8.29,91.86
S.J,20132014,82,3939.32,2.45,2.1,0.35,2.7,2.04,0.66,32.61,27.16,5.45,46.1,38.25,7.86,62.3,53.66,8.64,7.52,92.21
STL,20132014,82,3836.95,2.44,1.99,0.45,2.24,1.87,0.38,28.87,25.61,3.25,41.41,35.68,5.72,55.47,48.91,6.55,8.55,92.25
T.B,20132014,82,3882.4,2.33,1.98,0.36,2.17,2.13,0.04,29.84,27.71,2.13,41.87,39.69,2.18,54.91,52.79,2.12,7.81,92.87
TOR,20132014,82,3917.6,2.25,2.5,-0.25,1.99,2.69,-0.7,26.73,34.87,-8.15,37.03,50.57,-13.54,49.91,66.47,-16.56,8.47,92.85
VAN,20132014,82,3887.38,2.15,2.19,-0.05,2.22,2.26,-0.05,29.56,28.29,1.27,41.89,39.28,2.61,57.06,54.16,2.9,7.25,92.27
WPG,20132014,82,3881.87,2.35,2.47,-0.12,2.45,2.39,0.07,30.08,29.51,0.57,41.87,41.02,0.85,56.37,56.18,0.19,7.81,91.58
WSH,20132014,82,3890.08,2.07,2.34,-0.28,2.11,2.34,-0.23,27.05,31.31,-4.26,37.97,42.63,-4.66,51.9,56.96,-5.06,7.64,92.51
ANA,20142015,82,3902.03,2.41,2.26,0.15,2.37,2.18,0.19,28.62,27.99,0.63,41.96,39.53,2.43,55.48,53.39,2.09,8.48,91.82
ARI,20142015,82,3947.18,1.61,2.63,-1.02,1.99,2.42,-0.43,28.15,31.01,-2.86,39.93,43.37,-3.44,54.89,57.95,-3.06,5.72,91.52
BOS,20142015,82,4014.32,2.09,2.03,0.06,2.1,2.07,0.03,29.38,28.98,0.4,40.74,39.73,1.02,55.74,52.07,3.66,7.12,92.94
BUF,20142015,82,3978.82,1.64,2.62,-0.98,1.71,2.59,-0.89,23.03,34.58,-11.55,30.73,48.54,-17.81,40.38,67.39,-27.01,7.14,92.41
CAR,20142015,82,4001.27,1.86,2.41,-0.55,2.33,2.28,0.05,30.22,26.77,3.45,42.24,38.54,3.7,57.52,52.03,5.49,6.2,90.98
CBJ,20142015,82,3869.97,2.22,2.57,-0.36,2.1,2.36,-0.26,28.16,31.66,-3.5,38.03,42.79,-4.76,50.09,55.78,-5.69,7.97,91.87
CGY,20142015,82,3981.8,2.26,2.32,-0.06,1.98,2.31,-0.33,25.45,29.56,-4.11,35.8,42.45,-6.65,50.04,62.52,-12.48,8.88,92.15
CHI,20142015,82,3980.1,2.26,1.91,0.35,2.42,2.33,0.08,32.89,29.85,3.05,43.72,39.3,4.42,60.32,52.14,8.17,6.87,93.54
COL,20142015,82,3903.85,2.34,2.4,-0.06,1.95,2.49,-0.54,26.7,32.06,-5.36,35.38,44.96,-9.58,47.31,62.08,-14.77,8.75,92.52
DAL,20142015,82,3863.02,2.7,2.64,0.06,2.63,2.39,0.24,30.82,29.2,1.62,45.28,41.31,3.96,61.58,56.58,5,8.82,90.91
DET,20142015,82,3826.07,2.07,1.98,0.09,2.14,2.01,0.13,28.23,26.72,1.51,38.89,35.9,3,52.69,45.85,6.84,7.33,92.61
EDM,20142015,82,4066.45,1.93,2.91,-0.97,2.05,2.57,-0.53,27.24,29.63,-2.39,38.2,42.04,-3.84,52.63,56.85,-4.22,7.2,90.14
FLA,20142015,82,3930.18,2.2,2.15,0.05,2.19,2,0.18,30.23,28.2,2.03,40.9,39.28,1.62,53.8,51.08,2.72,7.27,92.38
L.A,20142015,82,3961,2.32,1.91,0.41,2.38,1.97,0.41,30.76,25.71,5.06,44.08,36.54,7.54,59.17,47.7,11.47,7.58,92.58
MIN,20142015,82,3911.92,2.53,2.21,0.32,2.26,1.86,0.39,29.74,27.09,2.65,41.27,37.91,3.36,54.88,52.65,2.22,8.56,91.85
MTL,20142015,82,3932.83,2.21,1.85,0.37,2.13,2.23,-0.1,27.89,29.22,-1.33,38.6,40.41,-1.82,54.07,57.39,-3.33,7.98,93.68
N.J,20142015,82,3944.63,1.75,1.89,-0.14,1.93,2.11,-0.18,24.29,28.79,-4.5,33.72,38.6,-4.88,45.14,50.5,-5.35,7.2,93.41
NSH,20142015,82,3933.02,2.52,1.91,0.61,2.27,1.9,0.37,31.15,27.64,3.51,43.08,38.35,4.73,58.43,52.4,6.03,8.08,93.1
NYI,20142015,82,3962.6,2.53,2.36,0.17,3.05,2.43,0.62,32.45,27.68,4.77,45.14,38.34,6.8,61.31,54.93,6.37,7.79,91.47
NYR,20142015,82,4009.65,2.68,2.05,0.63,2.49,2.45,0.04,30.3,29.61,0.69,40.84,41.78,-0.94,54.44,55.56,-1.12,8.83,93.08
OTT,20142015,82,3866.18,2.34,2.22,0.12,2.29,2.19,0.09,29.24,31.58,-2.34,40.12,42.4,-2.28,55.61,55.08,0.53,8.01,92.98
PHI,20142015,82,3930.85,2.01,2.06,-0.05,2.01,2.25,-0.24,27.57,29.23,-1.66,38.66,40.43,-1.77,53.65,55.16,-1.51,7.31,92.95
PIT,20142015,82,3861.28,2.25,2.02,0.23,2.21,2.07,0.14,30.35,27.3,3.05,41.36,36.92,4.44,55.86,49.93,5.94,7.42,92.56
S.J,20142015,82,3968.1,2.07,2.34,-0.27,2.4,2.32,0.08,29.56,28.8,0.76,42.55,40.58,1.97,59.42,56.04,3.39,7.05,91.86
STL,20142015,82,3938.2,2.45,2.03,0.43,2.33,2,0.33,29.97,26.52,3.44,41.85,37.02,4.83,54.89,51.18,3.72,8.19,92.31
T.B,20142015,82,3833.55,2.75,2.1,0.66,2.37,1.94,0.43,30.5,26.14,4.37,41.65,36.72,4.93,55.94,49.55,6.39,9.03,91.92
TOR,20142015,82,3855.12,2.12,2.66,-0.54,2.08,2.65,-0.57,28.17,32.61,-4.44,39.41,45.93,-6.52,52.31,60.36,-8.05,7.51,91.84
VAN,20142015,82,3893.2,2.28,2.44,-0.15,2.19,2.35,-0.16,29.47,29,0.46,40.3,39.84,0.46,53.57,54.63,-1.06,7.74,91.56
WPG,20142015,82,3773.4,2.27,1.96,0.32,2.41,2.19,0.23,28.89,26.89,2,40.55,37.45,3.1,55.67,50.33,5.34,7.87,92.73
WSH,20142015,82,3893.65,2.25,2.05,0.2,2.22,1.99,0.22,27.95,27.12,0.83,40.16,37.75,2.4,55.66,52.69,2.97,8.04,92.45
ANA,20152016,82,3882.25,1.96,2.02,-0.06,2.3,2.08,0.22,29.57,26.58,2.98,42.41,37.4,5.01,56.33,51.14,5.19,6.69,92.39
ARI,20152016,82,3771.58,2.05,2.16,-0.11,1.99,2.3,-0.31,26.74,30.74,-3.99,38.04,44.23,-6.19,51.42,58.42,-7,7.67,92.96
BOS,20152016,82,3946.97,2.4,2.3,0.11,2.15,2.22,-0.07,31.06,29.9,1.16,41.52,42.11,-0.59,54.83,55.85,-1.02,7.78,92.28
BUF,20152016,82,3976.95,1.81,2.23,-0.42,1.9,2.12,-0.22,27.64,29.83,-2.19,37.6,41.81,-4.21,49.95,55.14,-5.19,6.6,92.52
CAR,20152016,82,4037,1.95,2.35,-0.4,2.31,2.31,0.01,28.48,27.48,1,40.59,39.52,1.07,54.72,51.63,3.09,6.89,91.41
CBJ,20152016,82,3916.08,2.25,2.44,-0.18,2.5,2.37,0.13,28.71,29.98,-1.27,39.19,41.51,-2.31,52.52,56.86,-4.34,7.89,91.88
CGY,20152016,82,3954.92,2.29,2.55,-0.26,2.21,2.28,-0.07,28.1,28.55,-0.46,38.5,40.81,-2.31,53.05,57.19,-4.14,8.15,90.98
CHI,20152016,82,3985.37,2.02,2.12,-0.11,2.18,2.34,-0.15,29.82,29.54,0.29,40.08,39.91,0.17,55.37,53.97,1.4,6.81,92.81
COL,20152016,82,3890.87,2.13,2.31,-0.19,1.96,2.44,-0.49,27.31,31.97,-4.66,37.12,44.91,-7.79,49.24,62.22,-12.98,7.79,92.76
DAL,20152016,82,3920.02,2.48,2.34,0.14,2.65,2.37,0.28,31.33,28.13,3.2,45.15,40.88,4.27,61.55,55.53,6.02,7.91,91.63
DET,20152016,82,3863.13,2,2.14,-0.14,2.26,2.31,-0.05,28.76,29.07,-0.31,39.87,39.48,0.39,52.82,49.33,3.49,6.96,92.63
EDM,20152016,82,3912.92,2.04,2.56,-0.52,2.3,2.43,-0.13,28.43,30.22,-1.79,39.25,42.08,-2.82,54.17,56.92,-2.74,7.17,91.53
FLA,20152016,82,3867.03,2.47,1.92,0.54,2.09,2.09,0,27.9,28.63,-0.73,37.98,39.63,-1.64,48.21,50.77,-2.56,8.88,93.28
L.A,20152016,82,3935.3,2.13,1.83,0.3,2.48,2.08,0.4,31.45,26.09,5.37,46.55,36.3,10.25,62.24,48.16,14.07,6.82,92.99
MIN,20152016,82,3914.92,2.11,1.95,0.17,2.06,2.01,0.05,27.13,27.77,-0.64,37.76,40.14,-2.38,50.24,55.13,-4.89,7.79,93
MTL,20152016,81,3876.62,2.21,2.34,-0.12,2.26,2.17,0.08,30.18,28.8,1.38,40.95,39.13,1.83,56.42,53.37,3.05,7.33,91.84
N.J,20152016,82,3873.77,1.69,2.03,-0.34,1.88,2.06,-0.18,23.33,27.01,-3.69,32.45,36.66,-4.21,42.19,49.21,-7.02,7.24,92.5
NSH,20152016,82,3923.97,2.16,2.08,0.08,2.16,1.91,0.25,29.68,26.67,3.01,41.77,36.19,5.58,56.13,50.78,5.35,7.31,92.21
NYI,20152016,82,4014.42,2.3,2.17,0.13,2.42,2.5,-0.08,28.37,29.34,-0.97,40.04,40.25,-0.21,54.94,56.02,-1.08,8.11,92.62
NYR,20152016,82,4001.17,2.43,1.93,0.49,2.28,2.53,-0.25,27.13,29.5,-2.37,38.25,41.67,-3.42,51.48,57.21,-5.73,8.99,93.45
OTT,20152016,81,3903.02,2.28,2.21,0.06,2.09,2.34,-0.24,27.55,31.67,-4.12,38.28,43.34,-5.06,52.65,57.85,-5.2,8.25,93.02
PHI,20152016,82,3850.73,2.04,1.99,0.05,2.23,2.31,-0.08,29.29,30.2,-0.9,41.09,40.4,0.69,57.62,56.2,1.42,6.96,93.35
PIT,20152016,82,3905.87,2.44,1.97,0.48,2.55,2.02,0.53,32.4,28.51,3.89,43.47,38.65,4.82,58.01,52.01,5.99,7.54,93.01
S.J,20152016,82,3954.48,2.23,2,0.23,2.4,1.95,0.45,28.99,26.01,2.99,40.88,36.28,4.6,55.52,51.92,3.6,7.68,92.3
STL,20152016,82,3906.72,2.13,1.89,0.25,2.27,2.12,0.16,30.32,27.78,2.53,41.47,37.95,3.52,55.52,51.36,4.16,7.04,93.15
T.B,20152016,82,3824.63,2.31,1.96,0.35,2.07,1.95,0.12,29.26,27.81,1.44,41.29,38.87,2.42,55.72,51.05,4.67,7.87,92.9
TOR,20152016,82,3866.87,1.86,2.48,-0.62,2.25,2.28,-0.03,29.26,30.77,-1.51,42.87,43.26,-0.39,58.5,55.49,3.01,6.36,91.94
VAN,20152016,82,3945.82,1.87,2.31,-0.44,2,2.55,-0.55,27.39,31.1,-3.71,37.21,42.7,-5.49,49.74,55.62,-5.88,6.88,92.52
WPG,20152016,82,3864.68,2.24,2.2,0.03,2.31,2.29,0.02,29.39,27.98,1.41,40.68,38.64,2.03,55.05,52.03,3.03,7.66,92.12
WSH,20152016,82,3939.32,2.47,1.95,0.52,2.33,2.12,0.22,29.94,27.43,2.51,41.38,39.13,2.25,56.17,53.99,2.18,8.24,92.9
ANA,20162017,82,3869.82,2.25,1.98,0.26,2.41,2.23,0.18,28.93,28.26,0.67,40.93,40.76,0.17,54.17,54.89,-0.71,7.77,92.98
ARI,20162017,82,3984.22,1.99,2.51,-0.53,1.94,2.73,-0.79,27.29,33.42,-6.13,38.57,48.19,-9.62,51.4,62.66,-11.26,7.28,92.44
BOS,20162017,82,3869.08,2.2,2.28,-0.08,2.37,2.03,0.34,32.3,26.24,6.06,45.33,36.68,8.65,60.18,49.89,10.3,6.86,91.31
BUF,20162017,82,4031.08,1.88,2.31,-0.43,2.06,2.29,-0.22,29.25,32.55,-3.3,39.85,44.31,-4.47,51.92,57.96,-6.04,6.41,92.92
CAR,20162017,82,4042.72,2.15,2.52,-0.37,2.48,2.38,0.1,29.13,28.57,0.56,41.23,40.43,0.8,56.43,53.38,3.04,7.43,91.17
CBJ,20162017,82,3993.48,2.51,1.98,0.53,2.45,2.43,0.02,30.85,29.43,1.41,41.63,40.93,0.71,55.83,55.17,0.66,8.18,93.26
CGY,20162017,82,3859.62,2.16,2.22,-0.06,2.12,2.2,-0.07,28.46,27.76,0.7,39.25,39.13,0.12,53.8,52.61,1.2,7.59,92
CHI,20162017,82,4053.47,2.43,2.01,0.41,2.33,2.34,-0.01,29.71,30.09,-0.38,39.92,39.97,-0.04,55.64,54.65,0.99,8.17,93.31
COL,20162017,81,3871.37,1.74,2.98,-1.24,1.83,2.26,-0.42,27.37,31.65,-4.28,38.31,42.56,-4.25,52.06,55.56,-3.5,6.33,90.6
DAL,20162017,82,3977.23,2.23,2.32,-0.09,2.47,2.53,-0.05,29.69,28.75,0.94,42.44,41.35,1.09,58.08,57.88,0.2,7.52,91.92
DET,20162017,82,3975.17,2.17,2.45,-0.27,2.16,2.34,-0.19,27.59,29.49,-1.9,38.4,41.09,-2.69,50.07,53.73,-3.67,7.88,91.72
EDM,20162017,82,3994.63,2.48,2.09,0.39,2.55,2.42,0.13,29.91,28.75,1.16,40.91,39.47,1.44,54.7,54.91,-0.21,8.29,92.74
FLA,20162017,82,3899.53,2,2.46,-0.46,2.12,2.31,-0.19,30.47,31.36,-0.89,41.74,41.47,0.28,54.04,52.98,1.06,6.56,92.1
L.A,20162017,82,3974.83,1.9,2.01,-0.11,2.43,2.07,0.36,30.6,25.28,5.31,44.17,36.24,7.92,59.9,49.07,10.82,6.21,92.06
MIN,20162017,82,4055.98,2.75,2.19,0.56,2.38,1.93,0.45,30.06,29.45,0.61,40.95,41.12,-0.18,53.95,55.4,-1.45,9.15,92.57
MTL,20162017,82,4023.93,2.3,1.92,0.37,2.38,2.12,0.27,30.43,28.49,1.94,42.32,38.4,3.92,58.78,53.1,5.68,7.55,93.25
N.J,20162017,82,3932.12,1.74,2.26,-0.52,2.08,2.22,-0.15,27.34,30.14,-2.79,37.75,40.97,-3.22,48.87,53.28,-4.41,6.36,92.47
NSH,20162017,82,3935.23,2.42,2.15,0.27,2.27,2.11,0.15,30.92,29.24,1.68,42.78,41.04,1.74,57.79,54.6,3.19,7.84,92.65
NYI,20162017,82,4035.57,2.62,2.53,0.09,2.53,2.64,-0.1,29.65,30.88,-1.23,40.34,43.7,-3.36,54.89,60.05,-5.16,8.87,91.77
NYR,20162017,82,3994.55,2.51,2.3,0.21,2.42,2.51,-0.09,28.34,29.89,-1.55,39.88,41.88,-2,52.63,57.23,-4.6,8.85,92.32
OTT,20162017,82,3921,2.07,2.16,-0.09,2.16,2.23,-0.07,29.4,29.26,0.14,39.92,41.9,-1.97,54.84,58.13,-3.29,7.03,92.58
PHI,20162017,82,3910.53,1.93,2.35,-0.41,2.16,2.24,-0.08,29.29,28.2,1.09,41.17,39.03,2.13,57.58,55.13,2.45,6.65,91.68
PIT,20162017,82,3953.23,2.81,2.28,0.53,2.75,2.49,0.26,32.78,31.01,1.78,43.56,41.5,2.06,57.77,57.48,0.29,8.6,92.61
S.J,20162017,81,3960.87,2.27,2.01,0.26,2.42,2.19,0.23,28.9,26.69,2.21,42.1,38.54,3.56,58.03,55.15,2.88,7.85,92.45
STL,20162017,82,3942.35,2.34,2.09,0.26,2.11,2.04,0.08,27.9,27.36,0.53,38.66,37.94,0.72,51.93,51.58,0.35,8.4,92.38
T.B,20162017,82,3906.65,2.15,2.21,-0.06,2.21,2.15,0.06,29.13,29.27,-0.14,41.39,40.33,1.06,55.24,52.48,2.76,7.38,92.4
TOR,20162017,82,3967.97,2.54,2.43,0.11,2.7,2.65,0.05,30.62,31.56,-0.94,44.43,44.85,-0.42,59.52,58.56,0.95,8.3,92.25
VAN,20162017,82,4046.83,1.88,2.34,-0.46,2.06,2.48,-0.42,27.06,30.91,-3.85,36.89,41.96,-5.07,50.4,54.71,-4.31,7.01,92.42
WPG,20162017,82,3878.02,2.41,2.54,-0.12,2.3,2.21,0.09,28.51,30.05,-1.53,39.25,40.29,-1.04,52.31,53.92,-1.61,8.51,91.56
WSH,20162017,82,3907.75,2.73,1.72,1.01,2.31,2.21,0.1,29.77,27.42,2.35,41.35,39.05,2.3,56.09,52.22,3.87,9.18,93.73
ANA,20172018,82,3939.8,2.39,2.09,0.3,2.43,2.57,-0.14,29.56,31.07,-1.51,41.94,44.48,-2.54,55.82,59.03,-3.21,8.16,93.35
ARI,20172018,82,4027.25,2.09,2.44,-0.36,2.13,2.47,-0.34,28.49,31.27,-2.79,40.64,45.93,-5.29,56.23,60.67,-4.44,7.28,92.15
BOS,20172018,82,3950.45,2.52,2.1,0.43,2.52,2.13,0.39,31.96,27.32,4.63,44.77,38.46,6.32,59.45,51.23,8.22,7.82,92.34
BUF,20172018,82,3936.73,1.81,2.65,-0.84,1.93,2.36,-0.43,29.45,31.85,-2.41,39.5,43.59,-4.08,51.33,56.56,-5.23,6.16,91.63
CAR,20172018,82,4086.27,2.28,2.6,-0.32,2.53,2.3,0.23,32.33,28.79,3.54,45.65,40.16,5.49,62.48,52.24,10.23,7.04,90.97
CBJ,20172018,82,4063.52,2.5,2.19,0.31,2.64,2.52,0.12,33.47,30.48,3,45.82,41.3,4.52,59.76,56.29,3.47,7.44,92.85
CGY,20172018,82,3894.92,2.25,2.42,-0.17,2.56,2.34,0.22,33.06,29.84,3.22,48.16,42.13,6.02,64.33,55.89,8.44,6.79,91.92
CHI,20172018,81,3856.7,2.38,2.66,-0.28,2.56,2.6,-0.04,33.39,32.2,1.18,44.81,43.14,1.66,63.83,58.25,5.59,7.08,91.82
COL,20172018,82,3827.1,2.37,2.18,0.19,2.06,2.33,-0.26,28.83,32.25,-3.42,39.63,44.68,-5.05,54.67,60.26,-5.6,8.21,93.24
DAL,20172018,82,3919.67,2.27,2.05,0.21,2.41,2.08,0.33,29.47,28.21,1.26,40.98,39.13,1.85,56.99,54.6,2.39,7.69,92.73
DET,20172018,82,3995.45,2.21,2.48,-0.27,2.29,2.39,-0.1,29.46,31.01,-1.55,41.22,42.26,-1.04,53.66,56.24,-2.58,7.53,91.98
EDM,20172018,82,4058.22,2.41,2.6,-0.19,2.69,2.62,0.07,32.25,31.71,0.53,44.9,42.95,1.95,59.85,58.43,1.42,7.44,91.74
FLA,20172018,82,3967.98,2.51,2.54,-0.03,2.37,2.47,-0.1,32.89,33.25,-0.36,44.83,44.8,0.03,57.48,59.38,-1.91,7.71,92.32
L.A,20172018,82,3951.67,2.31,2.03,0.27,2.22,2.35,-0.14,29.44,29.55,-0.11,41.56,42.09,-0.53,56.03,56.04,-0.02,7.8,93.09
MIN,20172018,82,3954.03,2.43,2.19,0.24,2.26,1.97,0.29,29.65,30,-0.35,39.47,42.52,-3.05,52.08,58.28,-6.21,8.19,92.72
MTL,20172018,82,3975.65,1.96,2.38,-0.42,2.46,2.35,0.11,31.32,30.58,0.74,42.63,42.05,0.59,59.54,58.31,1.22,6.38,92.19
N.J,20172018,82,3936.25,2.44,2.53,-0.09,2.46,2.44,0.01,30.76,30.82,-0.06,42.19,43.85,-1.66,54.63,57.77,-3.14,7.91,91.73
NSH,20172018,82,3851.23,2.6,1.99,0.61,2.38,2.31,0.07,31.75,30.91,0.84,44.45,41.83,2.62,59.98,56.44,3.54,8.19,93.55
NYI,20172018,82,4011.93,2.65,2.83,-0.18,2.4,2.71,-0.31,29.96,34.1,-4.14,40.89,46.42,-5.53,55.96,61.87,-5.91,8.84,91.71
NYR,20172018,82,3991.58,2.25,2.72,-0.47,2.52,2.83,-0.31,29.87,34.9,-5.04,40.39,47.29,-6.9,53.09,62.52,-9.42,7.55,92.18
OTT,20172018,82,3984,2.27,2.98,-0.71,2.13,2.52,-0.39,29.53,32.48,-2.95,40.9,45.05,-4.14,55.47,62.03,-6.57,7.69,90.84
PHI,20172018,82,3993.77,2.36,2.18,0.18,2.35,2.25,0.11,30.09,28.83,1.26,41.06,40.95,0.11,54.96,55.63,-0.68,7.88,92.48
PIT,20172018,82,3935.37,2.45,2.68,-0.23,2.69,2.44,0.24,33.98,29.84,4.15,45.94,40.6,5.34,60.39,55.16,5.23,7.29,91.03
S.J,20172018,81,3958.38,2.36,2.47,-0.11,2.55,2.4,0.15,31.09,29.33,1.76,44.17,41.41,2.76,60.72,58.65,2.08,7.5,91.64
